Sequence Name;Sequence Description;Annotation GO ID;Annotation GO Term;Annotation GO Category;InterPro Accession;InterPro Name
MA_10242579g0010;DUF21 domain-containing At2g14520-like isoform X1;GO:0016021|GO:0065007;integral component of membrane|biological regulation;Cellular Component|Biological Process;noIPR|noIPR|noIPR|noIPR|noIPR;null|null|null|null|null
MA_10250077g0010;F-box kelch-repeat At1g51550;GO:0005515;protein binding;Molecular Function;IPR015915|IPR015915|noIPR|noIPR|noIPR|IPR015915;Kelch-type beta propeller|Kelch-type beta propeller|Kelch-type beta propeller|Kelch-type beta propeller|Kelch-type beta propeller|Kelch-type beta propeller
MA_10434352g0010;---NA---;NA;NA;NA;NA;NA
MA_10436508g0010;large proline-rich BAG6-like;GO:0005515;protein binding;Molecular Function;IPR000626|IPR000626|noIPR|noIPR|noIPR|IPR000626|IPR029071;Ubiquitin domain|Ubiquitin domain|Ubiquitin domain|Ubiquitin domain|Ubiquitin domain|Ubiquitin domain|Ubiquitin-like domain superfamily
MA_10436832g0010;unknown;NA;NA;NA;noIPR;null
MA_105017g0010;mediator of RNA polymerase II transcription subunit 19a isoform X1;GO:0001104|GO:0005515|GO:0006357|GO:0016592;RNA polymerase II transcription cofactor activity|protein binding|regulation of transcription from RNA polymerase II promoter|mediator complex;Molecular Function|Molecular Function|Biological Process|Cellular Component;IPR015943|IPR019403|noIPR|noIPR|noIPR;WD40/YVTN repeat-like-containing domain superfamily|Mediator complex, subunit Med19, metazoa|Mediator complex, subunit Med19, metazoa|Mediator complex, subunit Med19, metazoa|Mediator complex, subunit Med19, metazoa
MA_1119638g0010;---NA---;NA;NA;NA;NA;NA
MA_1150360g0010;---NA---;NA;NA;NA;noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR;null|null|null|null|null|null|null|null|null
MA_13740g0010;peptidyl-prolyl cis-trans isomerase CYP57 isoform X4;GO:0000413|GO:0003755|GO:0006457;protein peptidyl-prolyl isomerization|peptidyl-prolyl cis-trans isomerase activity|protein folding;Biological Process|Molecular Function|Biological Process;IPR002130|IPR002130|IPR029000|noIPR|IPR024936|IPR020892|IPR002130|IPR029000;Cyclophilin-type peptidyl-prolyl cis-trans isomerase domain|Cyclophilin-type peptidyl-prolyl cis-trans isomerase domain|Cyclophilin-like domain superfamily|Cyclophilin-like domain superfamily|Cyclophilin-type peptidyl-prolyl cis-trans isomerase|Cyclophilin-type peptidyl-prolyl cis-trans isomerase, conserved site|Cyclophilin-type peptidyl-prolyl cis-trans isomerase domain|Cyclophilin-like domain superfamily
MA_141906g0010;5 -3 exoribonuclease 3;GO:0003676|GO:0004534|GO:0005634|GO:0008270|GO:0051252|GO:0090503;nucleic acid binding|5'-3' exoribonuclease activity|nucleus|zinc ion binding|regulation of RNA metabolic process|RNA phosphodiester bond hydrolysis, exonucleolytic;Molecular Function|Molecular Function|Cellular Component|Molecular Function|Biological Process|Biological Process;NA;NA
