Sequence Name;Sequence Description;Annotation GO ID;Annotation GO Term;Annotation GO Category;InterPro Accession;InterPro Name
MA_10007908g0010;---NA---;NA;NA;NA;noIPR|noIPR|noIPR;null|null|null
MA_10207823g0010;OBERON 2-like;NA;NA;NA;noIPR|noIPR|noIPR;null|null|null
MA_10276052g0010;2S (plasmid);NA;NA;NA;noIPR|noIPR|IPR036312;null|null|Bifunctional inhibitor/plant lipid transfer protein/seed storage helical domain superfamily
MA_10280648g0010;calmodulin-like;GO:0005509;calcium ion binding;Molecular Function;IPR002048|noIPR|noIPR|IPR002048|IPR002048|noIPR|noIPR|noIPR|IPR018247|IPR018247|IPR018247|IPR002048|IPR002048|IPR002048|IPR002048|IPR002048|IPR011992;EF-hand domain|EF-hand domain|EF-hand domain|EF-hand domain|EF-hand domain|EF-hand domain|EF-hand domain|EF-hand domain|EF-Hand 1, calcium-binding site|EF-Hand 1, calcium-binding site|EF-Hand 1, calcium-binding site|EF-hand domain|EF-hand domain|EF-hand domain|EF-hand domain|EF-hand domain|EF-hand domain pair
MA_102879g0010;oleoyl-acyl carrier thioesterase chloroplastic;GO:0006633|GO:0016790;fatty acid biosynthetic process|thiolester hydrolase activity;Biological Process|Molecular Function;noIPR|IPR002864|noIPR|noIPR|noIPR|noIPR|IPR029069;null|Acyl-ACP thioesterase|Acyl-ACP thioesterase|Acyl-ACP thioesterase|Acyl-ACP thioesterase|Acyl-ACP thioesterase|HotDog domain superfamily
MA_10372964g0010;aldehyde dehydrogenase family 2 member mitochondrial-like;GO:0006520|GO:0016491|GO:0016829|GO:0055114;cellular amino acid metabolic process|oxidoreductase activity|lyase activity|oxidation-reduction process;Biological Process|Molecular Function|Molecular Function|Biological Process;IPR015590|IPR016162|IPR001597|noIPR|noIPR|IPR016161|IPR015424;Aldehyde dehydrogenase domain|Aldehyde dehydrogenase, N-terminal|Aromatic amino acid beta-eliminating lyase/threonine aldolase|Aromatic amino acid beta-eliminating lyase/threonine aldolase|Aromatic amino acid beta-eliminating lyase/threonine aldolase|Aldehyde/histidinol dehydrogenase|Pyridoxal phosphate-dependent transferase
MA_10427262g0010;accelerated cell death 11;GO:0005737|GO:0120009|GO:0120013;cytoplasm;Cellular Component;IPR014830|noIPR|noIPR|noIPR|IPR036497;Glycolipid transfer protein domain|Glycolipid transfer protein domain|Glycolipid transfer protein domain|Glycolipid transfer protein domain|Glycolipid transfer protein superfamily
MA_10428679g0010;acyl- --sterol O-acyltransferase 1-like;NA;NA;NA;IPR032805|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR;Wax synthase domain|Wax synthase domain|Wax synthase domain|Wax synthase domain|Wax synthase domain|Wax synthase domain|Wax synthase domain|Wax synthase domain|Wax synthase domain|Wax synthase domain|Wax synthase domain|Wax synthase domain|Wax synthase domain|Wax synthase domain|Wax synthase domain|Wax synthase domain|Wax synthase domain|Wax synthase domain|Wax synthase domain|Wax synthase domain|Wax synthase domain|Wax synthase domain|Wax synthase domain|Wax synthase domain|Wax synthase domain|Wax synthase domain|Wax synthase domain|Wax synthase domain|Wax synthase domain
MA_10429394g0010;signal peptide peptidase-like 1;GO:0004190|GO:0016021;aspartic-type endopeptidase activity|integral component of membrane;Molecular Function|Cellular Component;IPR006639|IPR007369|noIPR|IPR007369|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR;Presenilin/signal peptide peptidase|Peptidase A22B, signal peptide peptidase|Peptidase A22B, signal peptide peptidase|Peptidase A22B, signal peptide peptidase|Peptidase A22B, signal peptide peptidase|Peptidase A22B, signal peptide peptidase|Peptidase A22B, signal peptide peptidase|Peptidase A22B, signal peptide peptidase|Peptidase A22B, signal peptide peptidase|Peptidase A22B, signal peptide peptidase|Peptidase A22B, signal peptide peptidase|Peptidase A22B, signal peptide peptidase|Peptidase A22B, signal peptide peptidase|Peptidase A22B, signal peptide peptidase|Peptidase A22B, signal peptide peptidase|Peptidase A22B, signal peptide peptidase|Peptidase A22B, signal peptide peptidase|Peptidase A22B, signal peptide peptidase|Peptidase A22B, signal peptide peptidase|Peptidase A22B, signal peptide peptidase|Peptidase A22B, signal peptide peptidase|Peptidase A22B, signal peptide peptidase|Peptidase A22B, signal peptide peptidase|Peptidase A22B, signal peptide peptidase|Peptidase A22B, signal peptide peptidase|Peptidase A22B, signal peptide peptidase
MA_10429605g0010;---NA---;NA;NA;NA;noIPR|noIPR|noIPR;null|null|null
