ID	atg_description
MA_10007908g0010	
MA_10207823g0010	
MA_10276052g0010	
MA_10280648g0010	AT5G49480-Ca2+-binding protein 1
MA_102879g0010	AT3G25110-fatA acyl-ACP thioesterase
MA_10372964g0010	AT3G48000-aldehyde dehydrogenase 2B4
MA_10427262g0010	AT2G34690-Glycolipid transfer protein (GLTP) family protein
MA_10428679g0010	AT3G51970-acyl-CoA sterol acyl transferase 1
MA_10429394g0010	AT4G33410-SIGNAL PEPTIDE PEPTIDASE-LIKE 1
MA_10429605g0010	
MA_10430758g0010	AT4G28250-expansin B3
MA_10431316g0020	AT3G05500-Rubber elongation factor protein (REF)
MA_10431450g0010	AT1G09960-sucrose transporter 4
MA_10432509g0010	AT3G10330-Cyclin-like family protein
MA_10433410g0010	
MA_10435062g0010	AT5G13640-phospholipid:diacylglycerol acyltransferase
MA_10435851g0010	AT5G04520-3-oxoacyl-acyl-carrier synthase-like protein (Protein of unknown function DUF455)
MA_113094g0010	
MA_124719g0010	
MA_136565g0010	
MA_14810g0010	
MA_166600g0010	AT1G64190-6-phosphogluconate dehydrogenase family protein
MA_18776g0010	
MA_197119g0010	AT3G52750-Tubulin/FtsZ family protein
MA_217871g0010	AT4G28520-cruciferin 3
MA_254136g0010	AT1G75250-RAD-like 6
MA_262677g0010	AT4G36700-RmlC-like cupins superfamily protein
MA_2868651g0010	
MA_28880g0010	AT5G44120-RmlC-like cupins superfamily protein
MA_28880g0020	AT1G03890-RmlC-like cupins superfamily protein
MA_28937g0020	
MA_29066g0010	AT5G44120-RmlC-like cupins superfamily protein
MA_338838g0010	
MA_361914g0010	AT1G31770-ATP-binding cassette 14
MA_411073g0010	AT3G46580-methyl-CPG-binding domain protein 5
MA_4439170g0010	AT2G47370-Calcium-dependent phosphotriesterase superfamily protein
MA_467865g0010	AT3G16240-delta tonoplast integral protein
MA_477187g0010	AT5G44120-RmlC-like cupins superfamily protein
MA_491683g0010	
MA_53533g0010	AT5G53150-DnaJ heat shock amino-terminal domain protein
MA_53678g0010	
MA_57395g0010	AT1G53240-Lactate/malate dehydrogenase family protein
MA_57964g0010	AT1G73880-UDP-glucosyl transferase 89B1
MA_6122032g0010	
MA_67677g0010	AT1G03880-cruciferin 2
MA_69192g0010	
MA_769629g0010	AT3G22640-cupin family protein
MA_7824g0010	
MA_7937116g0010	AT1G03890-RmlC-like cupins superfamily protein
MA_7937586g0010	
MA_8098278g0010	
MA_82831g0010	AT3G22640-cupin family protein
MA_829823g0010	
MA_8424978g0010	AT1G03890-RmlC-like cupins superfamily protein
MA_9001218g0010	
MA_904606g0010	AT1G63850-BTB/POZ domain-containing protein
MA_9210901g0010	
MA_9853020g0010	AT1G03890-RmlC-like cupins superfamily protein
