ID	atg_description
MA_10007908g0010	
MA_10291874g0010	AT5G17400-endoplasmic reticulum-adenine nucleotide transporter 1
MA_104125g0010	
MA_10429605g0010	
MA_10431450g0010	AT1G09960-sucrose transporter 4
MA_10432509g0010	AT3G10330-Cyclin-like family protein
MA_10433063g0010	AT2G39890-proline transporter 1
MA_10435851g0010	AT5G04520-3-oxoacyl-acyl-carrier synthase-like protein (Protein of unknown function DUF455)
MA_118880g0010	AT3G59770-sacI homology domain-containing protein / WW domain-containing protein
MA_13350g0010	AT5G58290-regulatory particle triple-A ATPase 3
MA_136565g0010	
MA_137736g0010	AT2G03880-Pentatricopeptide repeat (PPR) superfamily protein
MA_140124g0010	AT5G64570-beta-D-xylosidase 4
MA_15386g0010	AT5G60860-RAB GTPase homolog A1F
MA_217488g0010	
MA_2191330g0010	
MA_278449g0010	
MA_28880g0010	AT5G44120-RmlC-like cupins superfamily protein
MA_29066g0010	AT5G44120-RmlC-like cupins superfamily protein
MA_361914g0010	AT1G31770-ATP-binding cassette 14
MA_411073g0010	AT3G46580-methyl-CPG-binding domain protein 5
MA_427202g0010	AT3G04610-RNA-binding KH domain-containing protein
MA_477187g0010	AT5G44120-RmlC-like cupins superfamily protein
MA_527006g0010	AT4G28520-cruciferin 3
MA_53678g0010	
MA_60018g0010	AT5G14620-domains rearranged methyltransferase 2
MA_6212404g0010	AT1G65580-Endonuclease/exonuclease/phosphatase family protein
MA_6215853g0010	AT2G36250-Tubulin/FtsZ family protein
MA_67677g0010	AT1G03880-cruciferin 2
MA_6922402g0010	AT5G17660-tRNA (guanine-N-7) methyltransferase
MA_705422g0010	AT5G58490-NAD(P)-binding Rossmann-fold superfamily protein
MA_7130527g0010	
MA_769629g0010	AT3G22640-cupin family protein
MA_78087g0010	AT4G10030-alpha/beta-Hydrolases superfamily protein
MA_8424978g0010	AT1G03890-RmlC-like cupins superfamily protein
MA_89868g0010	AT3G52750-Tubulin/FtsZ family protein
MA_91576g0010	
MA_996191g0010	AT3G27890-NADPH:quinone oxidoreductase
