ID	atg_description
MA_10242579g0010	AT2G14520-CBS domain protein (DUF21)
MA_10250077g0010	AT1G51550-Kelch repeat-containing F-box family protein
MA_10434352g0010	
MA_10436508g0010	AT5G25270-Ubiquitin-like superfamily protein
MA_10436832g0010	
MA_105017g0010	AT5G12230-mediator of RNA polymerase II transcription subunit 19a-like protein
MA_1119638g0010	
MA_1150360g0010	
MA_13740g0010	AT4G33060-Cyclophilin-like peptidyl-prolyl cis-trans isomerase family protein
MA_141906g0010	
MA_257780g0020	AT3G21430-DNA binding protein
MA_27422g0020	AT1G73960-TBP-associated factor 2
MA_304675g0010	AT5G46230-hypothetical protein (Protein of unknown function, DUF538)
MA_341783g0010	AT4G14240-CBS domain protein with a domain protein (DUF21)
MA_396691g0010	
MA_433817g0010	AT4G21900-proteinaceous RNase P 3
MA_45153g0010	AT1G51550-Kelch repeat-containing F-box family protein
MA_468697g0010	
MA_48965g0010	AT3G09360-Cyclin/Brf1-like TBP-binding protein
MA_59424g0010	
MA_5978g0010	AT4G39230-NmrA-like negative transcriptional regulator family protein
MA_70332g0010	AT3G07400-lipase class 3 family protein
MA_772986g0010	AT1G08420-BRI1 suppressor 1 (BSU1)-like 2
MA_8894812g0010	AT1G32490-RNA helicase family protein
MA_898819g0010	AT2G30780-Tetratricopeptide repeat (TPR)-like superfamily protein
MA_898994g0010	AT4G24490-RAB geranylgeranyl transferase alpha subunit 1
