Sequence Name;Sequence Description;Annotation GO ID;Annotation GO Term;Annotation GO Category;InterPro Accession;InterPro Name
MA_10017488g0010;L-galactose dehydrogenase;GO:0004033|GO:0005829|GO:0006012|GO:0010349|GO:0019853|GO:0055114;aldo-keto reductase (NADP) activity|cytosol|galactose metabolic process|L-galactose dehydrogenase activity|L-ascorbic acid biosynthetic process|oxidation-reduction process;Molecular Function|Cellular Component|Biological Process|Molecular Function|Biological Process|Biological Process;IPR023210|IPR036812|noIPR|IPR036812;NADP-dependent oxidoreductase domain|NADP-dependent oxidoreductase domain superfamily|NADP-dependent oxidoreductase domain superfamily|NADP-dependent oxidoreductase domain superfamily
MA_10031781g0010;ethylene-responsive transcription factor 5-like;GO:0003677|GO:0003700|GO:0005667|GO:0006355|GO:0045449;DNA binding|transcription factor activity, sequence-specific DNA binding|transcription factor complex|regulation of transcription, DNA-templated|regulation of transcription, DNA-templated;Molecular Function|Molecular Function|Cellular Component|Biological Process|Biological Process;IPR001471|IPR001471|IPR017392|IPR001471|IPR036955|noIPR|noIPR|noIPR|IPR001471|IPR001471|IPR016177;AP2/ERF domain|AP2/ERF domain|AP2/ERF transcription factor ERF/PTI6|AP2/ERF domain|AP2/ERF domain superfamily|AP2/ERF domain superfamily|AP2/ERF domain superfamily|AP2/ERF domain superfamily|AP2/ERF domain|AP2/ERF domain|DNA-binding domain superfamily
MA_100472g0010;auxin efflux carrier component 3-like isoform X1;GO:0016021|GO:0055085;integral component of membrane|transmembrane transport;Cellular Component|Biological Process;IPR004776|IPR014024|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR;Membrane transport protein|Auxin efflux carrier, plant type|Auxin efflux carrier, plant type|Auxin efflux carrier, plant type|Auxin efflux carrier, plant type|Auxin efflux carrier, plant type|Auxin efflux carrier, plant type|Auxin efflux carrier, plant type|Auxin efflux carrier, plant type|Auxin efflux carrier, plant type|Auxin efflux carrier, plant type|Auxin efflux carrier, plant type|Auxin efflux carrier, plant type|Auxin efflux carrier, plant type|Auxin efflux carrier, plant type|Auxin efflux carrier, plant type|Auxin efflux carrier, plant type|Auxin efflux carrier, plant type|Auxin efflux carrier, plant type|Auxin efflux carrier, plant type|Auxin efflux carrier, plant type|Auxin efflux carrier, plant type|Auxin efflux carrier, plant type|Auxin efflux carrier, plant type|Auxin efflux carrier, plant type|Auxin efflux carrier, plant type|Auxin efflux carrier, plant type|Auxin efflux carrier, plant type|Auxin efflux carrier, plant type|Auxin efflux carrier, plant type|Auxin efflux carrier, plant type|Auxin efflux carrier, plant type|Auxin efflux carrier, plant type|Auxin efflux carrier, plant type|Auxin efflux carrier, plant type|Auxin efflux carrier, plant type|Auxin efflux carrier, plant type|Auxin efflux carrier, plant type
MA_10061366g0010;importin-4;GO:0005515;protein binding;Molecular Function;IPR034085|IPR011989|noIPR|IPR000357|noIPR|noIPR|noIPR|IPR021133|IPR021133|IPR016024;TOG domain|Armadillo-like helical|Armadillo-like helical|HEAT repeat|HEAT repeat|HEAT repeat|HEAT repeat|HEAT, type 2|HEAT, type 2|Armadillo-type fold
MA_10212234g0010;unknown;GO:0016021;integral component of membrane;Cellular Component;noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR;null|null|null|null|null|null|null|null|null|null
MA_103557g0010;unknown;NA;NA;NA;noIPR;null
MA_103557g0020;multiple organellar RNA editing factor mitochondrial-like;NA;NA;NA;noIPR|noIPR|noIPR|noIPR|noIPR;null|null|null|null|null
MA_10428769g0010;ubiquitin carboxyl-terminal hydrolase 12 isoform X3;GO:0005515|GO:0006511|GO:0016579|GO:0036459;protein binding|ubiquitin-dependent protein catabolic process|protein deubiquitination|thiol-dependent ubiquitinyl hydrolase activity;Molecular Function|Biological Process|Biological Process|Molecular Function;noIPR|IPR002083|noIPR|IPR029346|noIPR|IPR008974|IPR001394|noIPR|IPR002083|noIPR|noIPR|IPR024729|noIPR|noIPR|noIPR|IPR018200|IPR018200|IPR002083|IPR028889|IPR002083|noIPR|IPR008974;null|MATH/TRAF domain|MATH/TRAF domain|Ubiquitin carboxyl-terminal hydrolase, C-terminal|Ubiquitin carboxyl-terminal hydrolase, C-terminal|TRAF-like|Peptidase C19, ubiquitin carboxyl-terminal hydrolase|Peptidase C19, ubiquitin carboxyl-terminal hydrolase|MATH/TRAF domain|MATH/TRAF domain|MATH/TRAF domain|Ubiquitin carboxyl-terminal hydrolase 7, ICP0-binding domain|Ubiquitin carboxyl-terminal hydrolase 7, ICP0-binding domain|Ubiquitin carboxyl-terminal hydrolase 7, ICP0-binding domain|Ubiquitin carboxyl-terminal hydrolase 7, ICP0-binding domain|Ubiquitin specific protease, conserved site|Ubiquitin specific protease, conserved site|MATH/TRAF domain|Ubiquitin specific protease domain|MATH/TRAF domain|MATH/TRAF domain|TRAF-like
MA_10429029g0010;metal-nicotianamine transporter YSL3-like;GO:0055085;transmembrane transport;Biological Process;IPR004813|IPR004813|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR;Oligopeptide transporter, OPT superfamily|Oligopeptide transporter, OPT superfamily|Oligopeptide transporter, OPT superfamily|Oligopeptide transporter, OPT superfamily|Oligopeptide transporter, OPT superfamily|Oligopeptide transporter, OPT superfamily|Oligopeptide transporter, OPT superfamily|Oligopeptide transporter, OPT superfamily|Oligopeptide transporter, OPT superfamily|Oligopeptide transporter, OPT superfamily|Oligopeptide transporter, OPT superfamily|Oligopeptide transporter, OPT superfamily|Oligopeptide transporter, OPT superfamily|Oligopeptide transporter, OPT superfamily|Oligopeptide transporter, OPT superfamily|Oligopeptide transporter, OPT superfamily|Oligopeptide transporter, OPT superfamily|Oligopeptide transporter, OPT superfamily|Oligopeptide transporter, OPT superfamily|Oligopeptide transporter, OPT superfamily|Oligopeptide transporter, OPT superfamily|Oligopeptide transporter, OPT superfamily|Oligopeptide transporter, OPT superfamily|Oligopeptide transporter, OPT superfamily|Oligopeptide transporter, OPT superfamily|Oligopeptide transporter, OPT superfamily|Oligopeptide transporter, OPT superfamily|Oligopeptide transporter, OPT superfamily|Oligopeptide transporter, OPT superfamily|Oligopeptide transporter, OPT superfamily|Oligopeptide transporter, OPT superfamily|Oligopeptide transporter, OPT superfamily|Oligopeptide transporter, OPT superfamily|Oligopeptide transporter, OPT superfamily|Oligopeptide transporter, OPT superfamily|Oligopeptide transporter, OPT superfamily|Oligopeptide transporter, OPT superfamily|Oligopeptide transporter, OPT superfamily|Oligopeptide transporter, OPT superfamily|Oligopeptide transporter, OPT superfamily|Oligopeptide transporter, OPT superfamily|Oligopeptide transporter, OPT superfamily|Oligopeptide transporter, OPT superfamily|Oligopeptide transporter, OPT superfamily|Oligopeptide transporter, OPT superfamily|Oligopeptide transporter, OPT superfamily|Oligopeptide transporter, OPT superfamily|Oligopeptide transporter, OPT superfamily|Oligopeptide transporter, OPT superfamily|Oligopeptide transporter, OPT superfamily|Oligopeptide transporter, OPT superfamily|Oligopeptide transporter, OPT superfamily
MA_10429494g0010;serine threonine- kinase D6PK;GO:0004672|GO:0005524|GO:0006468|GO:0045095;protein kinase activity|ATP binding|protein phosphorylation|keratin filament;Molecular Function|Molecular Function|Biological Process|Cellular Component;IPR000719|noIPR|IPR002494|IPR000719|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|IPR008271|IPR000719|noIPR|IPR011009;Protein kinase domain|Protein kinase domain|Keratin-associated protein|Protein kinase domain|Protein kinase domain|Protein kinase domain|Protein kinase domain|Protein kinase domain|Protein kinase domain|Protein kinase domain|Protein kinase domain|Serine/threonine-protein kinase, active site|Protein kinase domain|Protein kinase domain|Protein kinase-like domain superfamily
