Sequence Name;Sequence Description;Annotation GO ID;Annotation GO Term;Annotation GO Category;InterPro Accession;InterPro Name
MA_10063864g0010;unknown;NA;NA;NA;NA;NA
MA_10218870g0010;STICHEL-like;NA;NA;NA;noIPR;null
MA_10262217g0010;GDP-fucose O-fucosyltransferase;GO:0016021|GO:0016757;integral component of membrane|transferase activity, transferring glycosyl groups;Cellular Component|Molecular Function;noIPR|noIPR;null|null
MA_10342g0010;water chloroplastic;GO:2001070;starch binding;Molecular Function;IPR002044|IPR013783|IPR002044|noIPR|noIPR|IPR002044|IPR013784;Carbohydrate binding module family 20|Immunoglobulin-like fold|Carbohydrate binding module family 20|Carbohydrate binding module family 20|Carbohydrate binding module family 20|Carbohydrate binding module family 20|Carbohydrate-binding-like fold
MA_10425859g0020;---NA---;NA;NA;NA;noIPR|noIPR|noIPR|noIPR|noIPR|noIPR;null|null|null|null|null|null
MA_10425992g0020;arginine N-methyltransferase 7;NA;NA;NA;IPR007789|noIPR|noIPR|noIPR;Protein of unknown function DUF688|Protein of unknown function DUF688|Protein of unknown function DUF688|Protein of unknown function DUF688
MA_10426436g0020;Nicotianamine synthase;GO:0030410|GO:0030418;nicotianamine synthase activity|nicotianamine biosynthetic process;Molecular Function|Biological Process;noIPR|IPR004298|noIPR|noIPR|IPR004298;null|Nicotianamine synthase|Nicotianamine synthase|Nicotianamine synthase|Nicotianamine synthase
MA_10426470g0010;caffeic acid O-methyl;GO:0046983;protein dimerization activity;Molecular Function;IPR036388|IPR012967|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|IPR036390;Winged helix-like DNA-binding domain superfamily|Plant methyltransferase dimerisation|Plant methyltransferase dimerisation|Plant methyltransferase dimerisation|Plant methyltransferase dimerisation|Plant methyltransferase dimerisation|Plant methyltransferase dimerisation|Plant methyltransferase dimerisation|Plant methyltransferase dimerisation|Winged helix DNA-binding domain superfamily
MA_10426545g0010;unknown;NA;NA;NA;IPR018467|noIPR|noIPR|noIPR|noIPR;CO/COL/TOC1, conserved site|CO/COL/TOC1, conserved site|CO/COL/TOC1, conserved site|CO/COL/TOC1, conserved site|CO/COL/TOC1, conserved site
MA_10427283g0030;TIFY 10b;NA;NA;NA;IPR010399|IPR018467|IPR010399|noIPR|noIPR|IPR010399;Tify domain|CO/COL/TOC1, conserved site|Tify domain|Tify domain|Tify domain|Tify domain
MA_10427561g0010;pleiotropic drug resistance 1-like;GO:0005524|GO:0016020|GO:0016887;ATP binding|membrane|ATPase activity;Molecular Function|Cellular Component|Molecular Function;noIPR|IPR003593|noIPR|IPR013525|IPR013581|IPR003439|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|IPR003439|IPR003439|IPR034003|IPR027417|IPR027417|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR;null|AAA+ ATPase domain|AAA+ ATPase domain|ABC-2 type transporter|Plant PDR ABC transporter associated|ABC transporter-like|ABC transporter-like|ABC transporter-like|ABC transporter-like|ABC transporter-like|ABC transporter-like|ABC transporter-like|ABC transporter-like|ABC transporter-like|ABC transporter-like|ABC transporter-like|ABC transporter-like|ABC transporter-like|ABC transporter-like|ABC transporter-like|ABC transporter-like|ABC transporter-like|ABC transporter-like|ABC transporter-like|ABC transporter-like|ABC transporter-like|ABC transporter-like|ABC transporter-like|ABC transporter-like|ATP-binding cassette transporter, PDR-like subfamily G, domain 2|P-loop containing nucleoside triphosphate hydrolase|P-loop containing nucleoside triphosphate hydrolase|P-loop containing nucleoside triphosphate hydrolase|P-loop containing nucleoside triphosphate hydrolase|P-loop containing nucleoside triphosphate hydrolase|P-loop containing nucleoside triphosphate hydrolase|P-loop containing nucleoside triphosphate hydrolase|P-loop containing nucleoside triphosphate hydrolase
MA_10428036g0010;homolog subfamily C member 10;NA;NA;NA;noIPR|noIPR|noIPR|noIPR|noIPR|noIPR;null|null|null|null|null|null
MA_10428617g0010;ankyrin repeat domain-containing 2B;NA;NA;NA;noIPR|noIPR|noIPR|noIPR;null|null|null|null
MA_10428812g0030;vacuolar sorting-associated 18 homolog;GO:0005515;protein binding;Molecular Function;noIPR|IPR011990|noIPR|noIPR;null|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily
MA_10429172g0010;vacuolar sorting-associated 18 homolog;GO:0005622|GO:0006886|GO:0016192;intracellular|intracellular protein transport|vesicle-mediated transport;Cellular Component|Biological Process|Biological Process;noIPR|IPR013083|noIPR|noIPR|noIPR;null|Zinc finger, RING/FYVE/PHD-type|Zinc finger, RING/FYVE/PHD-type|Zinc finger, RING/FYVE/PHD-type|Zinc finger, RING/FYVE/PHD-type
MA_10429528g0010;bifunctional dihydrofolate reductase-thymidylate synthase-like isoform X1;GO:0004146|GO:0004799|GO:0006206|GO:0006231|GO:0006545|GO:0006730|GO:0006761|GO:0046656|GO:0055114;dihydrofolate reductase activity|thymidylate synthase activity|pyrimidine nucleobase metabolic process|dTMP biosynthetic process|glycine biosynthetic process|one-carbon metabolic process|dihydrofolate biosynthetic process|folic acid biosynthetic process|oxidation-reduction process;Molecular Function|Molecular Function|Biological Process|Biological Process|Biological Process|Biological Process|Biological Process|Biological Process|Biological Process;IPR000398|IPR000398|IPR012262|IPR024072|IPR001796|IPR036926|IPR023451|noIPR|IPR012262|noIPR|IPR017925|IPR020940|IPR000398|IPR001796|IPR001796|IPR023451|IPR036926|IPR024072;Thymidylate synthase|Thymidylate synthase|Bifunctional dihydrofolate reductase/thymidylate synthase|Dihydrofolate reductase-like domain superfamily|Dihydrofolate reductase domain|Thymidylate synthase/dCMP hydroxymethylase superfamily|Thymidylate synthase/dCMP hydroxymethylase domain|Thymidylate synthase/dCMP hydroxymethylase domain|Bifunctional dihydrofolate reductase/thymidylate synthase|Bifunctional dihydrofolate reductase/thymidylate synthase|Dihydrofolate reductase conserved site|Thymidylate synthase, active site|Thymidylate synthase|Dihydrofolate reductase domain|Dihydrofolate reductase domain|Thymidylate synthase/dCMP hydroxymethylase domain|Thymidylate synthase/dCMP hydroxymethylase superfamily|Dihydrofolate reductase-like domain superfamily
MA_10429603g0010;AP-1 complex subunit mu-2;GO:0006886|GO:0016192|GO:0030131;intracellular protein transport|vesicle-mediated transport|clathrin adaptor complex;Biological Process|Biological Process|Cellular Component;IPR001392|noIPR|noIPR|IPR028565|noIPR|noIPR|IPR018240|IPR028565|noIPR|IPR036168;Clathrin adaptor, mu subunit|Clathrin adaptor, mu subunit|Clathrin adaptor, mu subunit|Mu homology domain|Mu homology domain|Mu homology domain|Clathrin adaptor, mu subunit, conserved site|Mu homology domain|Mu homology domain|AP-2 complex subunit mu, C-terminal superfamily
MA_10429684g0010;hypothetical protein BVC80_441g123;GO:0009570;chloroplast stroma;Cellular Component;noIPR|noIPR;null|null
MA_10429959g0010;actin cytoskeleton-regulatory complex PAN1;NA;NA;NA;noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR;null|null|null|null|null|null|null
MA_10430344g0010;S-formylglutathione hydrolase;GO:0015947|GO:0018738|GO:0046294;methane metabolic process|S-formylglutathione hydrolase activity|formaldehyde catabolic process;Biological Process|Molecular Function|Biological Process;IPR029058|IPR000801|IPR014186|IPR029058;Alpha/Beta hydrolase fold|Putative esterase|S-formylglutathione hydrolase|Alpha/Beta hydrolase fold
MA_10430485g0010;dnaJ homolog subfamily C member 16 isoform X2;NA;NA;NA;NA;NA
MA_10430772g0010;citrate mitochondrial;GO:0046912;transferase activity, transferring acyl groups, acyl groups converted into alkyl on transfer;Molecular Function;IPR002020|IPR002020|IPR016142|IPR002020|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|IPR036969;Citrate synthase|Citrate synthase|Citrate synthase-like, large alpha subdomain|Citrate synthase|Citrate synthase|Citrate synthase|Citrate synthase|Citrate synthase|Citrate synthase|Citrate synthase|Citrate synthase superfamily
MA_10430846g0010;---NA---;NA;NA;NA;noIPR|noIPR|noIPR|noIPR;null|null|null|null
MA_10430919g0010;transport Sec24-like At3g07100;GO:0006886|GO:0006888|GO:0030127;intracellular protein transport|ER to Golgi vesicle-mediated transport|COPII vesicle coat;Biological Process|Biological Process|Cellular Component;IPR029006|IPR006896|IPR036465|IPR006900|IPR012990|noIPR|noIPR|IPR036465|IPR036175|IPR036180|noIPR;ADF-H/Gelsolin-like domain superfamily|Sec23/Sec24, trunk domain|von Willebrand factor A-like domain superfamily|Sec23/Sec24, helical domain|Sec23/Sec24 beta-sandwich|Sec23/Sec24 beta-sandwich|Sec23/Sec24 beta-sandwich|von Willebrand factor A-like domain superfamily|Sec23/Sec24 helical domain superfamily|Gelsolin-like domain superfamily|Gelsolin-like domain superfamily
MA_10431596g0010;ras-related RABE1c-like;GO:0003924|GO:0005525;GTPase activity|GTP binding;Molecular Function|Molecular Function;noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|IPR005225|IPR001806|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|IPR027417;null|null|null|null|null|null|Small GTP-binding protein domain|Small GTPase superfamily|Small GTPase superfamily|Small GTPase superfamily|Small GTPase superfamily|Small GTPase superfamily|Small GTPase superfamily|Small GTPase superfamily|P-loop containing nucleoside triphosphate hydrolase
MA_10432061g0010;AP-5 complex subunit zeta-1;GO:0044599;AP-5 adaptor complex;Cellular Component;IPR028222|noIPR|noIPR;AP-5 complex subunit zeta-1|AP-5 complex subunit zeta-1|AP-5 complex subunit zeta-1
