ID	atg_description
MA_10020001g0010	
MA_103237g0020	AT1G27595-symplekin
MA_10428998g0010	AT4G14540-nuclear factor Y, subunit B3
MA_10430224g0010	
MA_10432232g0010	AT3G55640-Mitochondrial substrate carrier family protein
MA_10432356g0010	
MA_10434374g0010	AT1G43860-sequence-specific DNA binding transcription factor
MA_10435139g0010	AT1G73400-Pentatricopeptide repeat (PPR) superfamily protein
MA_1121588g0010	AT1G02080-transcription regulator
MA_112645g0010	AT3G18870-Mitochondrial transcription termination factor family protein
MA_124481g0010	AT5G48090-EDM2-like protein1
MA_164007g0010	AT4G14350-AGC (cAMP-dependent, cGMP-dependent and protein kinase C) kinase family protein
MA_17760g0010	AT3G07660-flocculation protein (DUF1296)
MA_183711g0010	AT4G24270-EMBRYO DEFECTIVE 140
MA_199195g0010	AT3G19740-P-loop containing nucleoside triphosphate hydrolases superfamily protein
MA_203800g0010	
MA_2674882g0010	
MA_280477g0010	AT1G54140-TATA binding protein associated factor 21kDa subunit
MA_3942g0010	AT4G35040-Basic-leucine zipper (bZIP) transcription factor family protein
MA_40805g0010	AT1G69220-Protein kinase superfamily protein
MA_5389750g0010	
MA_5969116g0010	AT4G33240-1-phosphatidylinositol-3-phosphate 5-kinase FAB1A
MA_70500g0010	
MA_715864g0010	
MA_8115459g0010	AT4G19900-alpha 1,4-glycosyltransferase family protein
MA_8227330g0010	AT2G25170-chromatin remodeling factor CHD3 (PICKLE)
MA_8274264g0010	
MA_8477310g0020	
MA_8519142g0010	AT1G76630-Tetratricopeptide repeat (TPR)-like superfamily protein
MA_98063g0010	
