Sequence Name;Sequence Description;Annotation GO ID;Annotation GO Term;Annotation GO Category;InterPro Accession;InterPro Name
MA_100548g0010;BIG GRAIN 1-like B;NA;NA;NA;noIPR|noIPR|noIPR|noIPR;null|null|null|null
MA_10151561g0010;TIR P-loop LRR;NA;NA;NA;IPR032675|noIPR|IPR032675;Leucine-rich repeat domain superfamily|Leucine-rich repeat domain superfamily|Leucine-rich repeat domain superfamily
MA_10203128g0010;AE7-like;NA;NA;NA;IPR034904;Fe-S cluster assembly domain superfamily
MA_102175g0010;neoxanthin synthase;GO:0009517|GO:0009688|GO:0009941|GO:0010117|GO:0016021|GO:0016122|GO:0032928;PSII associated light-harvesting complex II|abscisic acid biosynthetic process|chloroplast envelope|photoprotection|integral component of membrane|xanthophyll metabolic process|regulation of superoxide anion generation;Cellular Component|Biological Process|Cellular Component|Biological Process|Cellular Component|Biological Process|Biological Process;IPR025461|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR;ABA DEFICIENT 4-like|ABA DEFICIENT 4-like|ABA DEFICIENT 4-like|ABA DEFICIENT 4-like|ABA DEFICIENT 4-like|ABA DEFICIENT 4-like|ABA DEFICIENT 4-like|ABA DEFICIENT 4-like|ABA DEFICIENT 4-like|ABA DEFICIENT 4-like|ABA DEFICIENT 4-like
MA_10292331g0010;thaumatin;NA;NA;NA;IPR001938|IPR001938|IPR037176|IPR001938|IPR001938|noIPR|IPR001938|IPR037176;Thaumatin|Thaumatin|Osmotin/thaumatin-like superfamily|Thaumatin|Thaumatin|Thaumatin|Thaumatin|Osmotin/thaumatin-like superfamily
MA_10341128g0010;unknown;NA;NA;NA;noIPR|IPR013256|IPR013256|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR;null|Chromatin SPT2|Chromatin SPT2|Chromatin SPT2|Chromatin SPT2|Chromatin SPT2|Chromatin SPT2|Chromatin SPT2|Chromatin SPT2|Chromatin SPT2
MA_10373780g0020;dynamin-related 5A;GO:0003924|GO:0005525;GTPase activity|GTP binding;Molecular Function|Molecular Function;IPR003130|IPR003130|noIPR|IPR022812|IPR020850;Dynamin GTPase effector|Dynamin GTPase effector|Dynamin GTPase effector|Dynamin superfamily|GTPase effector domain
MA_10381766g0010;3R-hydroxymyristoyl- dehydratase-hydroxymyristoyl ACP dehydrase isoform;GO:0005773|GO:0009507;vacuole|chloroplast;Cellular Component|Cellular Component;IPR011719|IPR011719|IPR037103|IPR011719|noIPR;Conserved hypothetical protein CHP02058|Conserved hypothetical protein CHP02058|Tubulin/FtsZ, C-terminal domain superfamily|Conserved hypothetical protein CHP02058|Conserved hypothetical protein CHP02058
MA_10428505g0010;9-cis-epoxycarotenoid dioxygenase;GO:0016702|GO:0055114;oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen|oxidation-reduction process;Molecular Function|Biological Process;IPR004294|noIPR|IPR004294;Carotenoid oxygenase|Carotenoid oxygenase|Carotenoid oxygenase
MA_10428573g0010;E3 ubiquitin- ligase TRIP12;NA;NA;NA;NA;NA
MA_10428694g0010;serine hydroxymethyltransferase 7-like;GO:0004372|GO:0006545|GO:0030170|GO:0035999;glycine hydroxymethyltransferase activity|glycine biosynthetic process|pyridoxal phosphate binding|tetrahydrofolate interconversion;Molecular Function|Biological Process|Molecular Function|Biological Process;IPR015422|noIPR|IPR015421|noIPR|noIPR|noIPR|noIPR|noIPR|IPR019798|IPR001085|IPR001085|IPR015424;Pyridoxal phosphate-dependent transferase, subdomain 2|Pyridoxal phosphate-dependent transferase, subdomain 2|Pyridoxal phosphate-dependent transferase, major region, subdomain 1|Pyridoxal phosphate-dependent transferase, major region, subdomain 1|Pyridoxal phosphate-dependent transferase, major region, subdomain 1|Pyridoxal phosphate-dependent transferase, major region, subdomain 1|Pyridoxal phosphate-dependent transferase, major region, subdomain 1|Pyridoxal phosphate-dependent transferase, major region, subdomain 1|Serine hydroxymethyltransferase, pyridoxal phosphate binding site|Serine hydroxymethyltransferase|Serine hydroxymethyltransferase|Pyridoxal phosphate-dependent transferase
