Sequence Name;Sequence Description;Annotation GO ID;Annotation GO Term;Annotation GO Category;InterPro Accession;InterPro Name
MA_10171864g0010;GDSL esterase lipase At4g01130-like;GO:0016788;hydrolase activity, acting on ester bonds;Molecular Function;IPR036514|noIPR|noIPR;SGNH hydrolase superfamily|SGNH hydrolase superfamily|SGNH hydrolase superfamily
MA_10192193g0020;zinc finger CONSTANS-LIKE 16;GO:0005515|GO:0005622|GO:0008270;protein binding|intracellular|zinc ion binding;Molecular Function|Cellular Component|Molecular Function;IPR000315|IPR010402|IPR000315|noIPR|noIPR|IPR010402|IPR000315|IPR000315;B-box-type zinc finger|CCT domain|B-box-type zinc finger|B-box-type zinc finger|B-box-type zinc finger|CCT domain|B-box-type zinc finger|B-box-type zinc finger
MA_10427716g0010;serine carboxypeptidase-like 31;GO:0004185|GO:0006508;serine-type carboxypeptidase activity|proteolysis;Molecular Function|Biological Process;IPR029058|IPR001563|noIPR|IPR001563|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|IPR029058|noIPR;Alpha/Beta hydrolase fold|Peptidase S10, serine carboxypeptidase|Peptidase S10, serine carboxypeptidase|Peptidase S10, serine carboxypeptidase|Peptidase S10, serine carboxypeptidase|Peptidase S10, serine carboxypeptidase|Peptidase S10, serine carboxypeptidase|Peptidase S10, serine carboxypeptidase|Peptidase S10, serine carboxypeptidase|Peptidase S10, serine carboxypeptidase|Alpha/Beta hydrolase fold|Alpha/Beta hydrolase fold
MA_10428363g0010;S-adenosyl-L-methionine-dependent methyltransferase Mjls_1072;GO:0008168|GO:0032259;methyltransferase activity|methylation;Molecular Function|Biological Process;IPR007213|noIPR|noIPR|noIPR|IPR029063;Methyltransferase Ppm1/Ppm2/Tcmp|Methyltransferase Ppm1/Ppm2/Tcmp|Methyltransferase Ppm1/Ppm2/Tcmp|Methyltransferase Ppm1/Ppm2/Tcmp|S-adenosyl-L-methionine-dependent methyltransferase
MA_10431705g0020;glutamate decarboxylase;GO:0004351|GO:0006522|GO:0006531|GO:0006536|GO:0019482|GO:0019530|GO:0030170;glutamate decarboxylase activity|alanine metabolic process|aspartate metabolic process|glutamate metabolic process|beta-alanine metabolic process|taurine metabolic process|pyridoxal phosphate binding;Molecular Function|Biological Process|Biological Process|Biological Process|Biological Process|Biological Process|Molecular Function;noIPR|IPR010107|noIPR;null|Glutamate decarboxylase|Glutamate decarboxylase
MA_10434413g0010;unknown;NA;NA;NA;noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR;null|null|null|null|null|null|null
MA_10434960g0020;flavonol synthase flavanone 3-hydroxylase-like;GO:0016491|GO:0055114;oxidoreductase activity|oxidation-reduction process;Molecular Function|Biological Process;IPR027443|IPR026992|IPR005123|noIPR|noIPR|IPR005123|noIPR;Isopenicillin N synthase-like|Non-haem dioxygenase N-terminal domain|Oxoglutarate/iron-dependent dioxygenase|Oxoglutarate/iron-dependent dioxygenase|Oxoglutarate/iron-dependent dioxygenase|Oxoglutarate/iron-dependent dioxygenase|Oxoglutarate/iron-dependent dioxygenase
MA_11963g0010;unknown;NA;NA;NA;noIPR;null
MA_130948g0020;AP2-like ethylene-responsive transcription factor TOE3 isoform X1;GO:0003677|GO:0003700|GO:0005667|GO:0006355|GO:0007275|GO:0045449;DNA binding|transcription factor activity, sequence-specific DNA binding|transcription factor complex|regulation of transcription, DNA-templated|multicellular organism development|regulation of transcription, DNA-templated;Molecular Function|Molecular Function|Cellular Component|Biological Process|Biological Process|Biological Process;IPR001471|IPR001471|IPR036955|IPR001471|noIPR|noIPR|noIPR|IPR031112|IPR001471|IPR001471|IPR001471|IPR001471|IPR016177|IPR016177;AP2/ERF domain|AP2/ERF domain|AP2/ERF domain superfamily|AP2/ERF domain|AP2/ERF domain|AP2/ERF domain|AP2/ERF domain|AP2-like ethylene-responsive transcription factor|AP2/ERF domain|AP2/ERF domain|AP2/ERF domain|AP2/ERF domain|DNA-binding domain superfamily|DNA-binding domain superfamily
MA_188016g0010;bidirectional sugar transporter SWEET17;GO:0016021;integral component of membrane;Cellular Component;IPR004316|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR;SWEET sugar transporter|SWEET sugar transporter|SWEET sugar transporter|SWEET sugar transporter|SWEET sugar transporter|SWEET sugar transporter|SWEET sugar transporter|SWEET sugar transporter|SWEET sugar transporter|SWEET sugar transporter|SWEET sugar transporter|SWEET sugar transporter|SWEET sugar transporter|SWEET sugar transporter|SWEET sugar transporter|SWEET sugar transporter
