ID	atg_description
MA_10017488g0010	AT4G33670-NAD(P)-linked oxidoreductase superfamily protein
MA_10031781g0010	AT4G17500-ethylene responsive element binding factor 1
MA_100472g0010	AT2G01420-Auxin efflux carrier family protein
MA_10061366g0010	AT4G27640-ARM repeat superfamily protein
MA_10212234g0010	
MA_103557g0010	
MA_103557g0020	
MA_10428769g0010	AT3G11910-ubiquitin-specific protease 13
MA_10429029g0010	AT5G53550-YELLOW STRIPE like 3
MA_10429494g0010	AT5G47750-D6 protein kinase like 2
MA_10429545g0010	AT5G47910-respiratory burst oxidase homologue D
MA_10429620g0010	AT4G17610-tRNA/rRNA methyltransferase (SpoU) family protein
MA_10429783g0010	AT2G01630-O-Glycosyl hydrolases family 17 protein
MA_10430089g0010	
MA_10431406g0010	
MA_10431486g0010	AT4G02100-Heat shock protein DnaJ with tetratricopeptide repeat-containing protein
MA_10432971g0010	
MA_10432971g0020	AT5G53550-YELLOW STRIPE like 3
MA_10434007g0010	AT2G31660-ARM repeat superfamily protein
MA_10436190g0010	AT3G59140-multidrug resistance-associated protein 14
MA_10436190g0020	AT3G59140-multidrug resistance-associated protein 14
MA_10436190g0030	AT3G59140-multidrug resistance-associated protein 14
MA_10436190g0040	AT3G59140-multidrug resistance-associated protein 14
MA_10437056g0010	AT2G45320-polyphosphatidylinositol phosphatase
MA_114887g0010	AT2G26110-bromodomain protein (DUF761)
MA_115118g0010	AT2G37250-adenosine kinase
MA_12253g0010	AT5G51060-NADPH/respiratory burst oxidase protein D
MA_130946g0010	AT4G23690-Disease resistance-responsive (dirigent-like protein) family protein
MA_164598g0010	AT1G01280-cytochrome P450, family 703, subfamily A, polypeptide 2
MA_166588g0010	AT1G08750-Peptidase C13 family
MA_172452g0010	
MA_186354g0020	AT5G39250-F-box family protein
MA_19672g0010	AT2G40980-Protein kinase superfamily protein
MA_215550g0010	AT5G27620-cyclin H;1
MA_222243g0010	
MA_24887g0010	AT3G62200-Putative endonuclease or glycosyl hydrolase
MA_282916g0010	AT2G30630-P-loop containing nucleoside triphosphate hydrolases superfamily protein
MA_287417g0010	
MA_29806g0010	AT1G02370-Tetratricopeptide repeat (TPR)-like superfamily protein
MA_31569g0020	AT5G14640-shaggy-like kinase 13
MA_3203075g0010	
MA_32960g0010	AT1G01490-Heavy metal transport/detoxification superfamily protein
MA_33140g0010	AT5G23760-Copper transport protein family
MA_583636g0010	
MA_602830g0010	AT3G59140-multidrug resistance-associated protein 14
MA_607295g0010	AT3G59140-multidrug resistance-associated protein 14
MA_80564g0010	
MA_82283g0010	AT1G60170-pre-mRNA processing ribonucleoprotein binding region-containing protein
MA_8298525g0010	AT3G59140-multidrug resistance-associated protein 14
MA_837862g0010	AT1G12220-Disease resistance protein (CC-NBS-LRR class) family
MA_907276g0010	AT2G36070-translocase inner membrane subunit 44-2
MA_9394345g0010	
MA_9472213g0010	
MA_94837g0010	
MA_958153g0010	AT2G26730-Leucine-rich repeat protein kinase family protein
MA_9821052g0010	AT1G04700-PB1 domain-containing protein tyrosine kinase
MA_99741g0010	AT4G02760-RNI-like superfamily protein
