ID	atg_description
MA_10031781g0010	AT4G17500-ethylene responsive element binding factor 1
MA_10151561g0010	
MA_103030g0010	AT4G00990-Transcription factor jumonji (jmjC) domain-containing protein
MA_10426382g0010	AT3G27120-P-loop containing nucleoside triphosphate hydrolases superfamily protein
MA_10426451g0010	
MA_10426755g0010	
MA_10427181g0010	AT1G07660-Histone superfamily protein
MA_10427200g0010	AT1G27170-transmembrane receptors / ATP binding protein
MA_10428505g0010	AT3G14440-nine-cis-epoxycarotenoid dioxygenase 3
MA_10428694g0010	AT1G36370-serine hydroxymethyltransferase 7
MA_10428701g0010	
MA_10431401g0010	
MA_10432866g0010	AT1G24050-RNA-processing, Lsm domain-containing protein
MA_10433285g0010	
MA_10433915g0010	AT5G36930-Disease resistance protein (TIR-NBS-LRR class) family
MA_10434357g0020	AT1G09155-phloem protein 2-B15
MA_10434515g0010	
MA_10435887g0010	
MA_10436516g0010	AT3G45980-Histone superfamily protein
MA_10436516g0020	AT3G45980-Histone superfamily protein
MA_112209g0020	AT5G36930-Disease resistance protein (TIR-NBS-LRR class) family
MA_117808g0010	AT4G08170-Inositol 1,3,4-trisphosphate 5/6-kinase family protein
MA_124506g0010	AT3G62200-Putative endonuclease or glycosyl hydrolase
MA_138223g0010	
MA_139427g0010	AT3G12830-SAUR-like auxin-responsive protein family
MA_13974g0010	AT2G19090-DUF630 family protein (DUF630 and DUF632)
MA_141866g0010	AT3G21510-histidine-containing phosphotransmitter 1
MA_17313g0010	AT1G30500-nuclear factor Y, subunit A7
MA_187114g0010	
MA_19731g0010	AT1G28120-ubiquitin thioesterase otubain-like protein
MA_2005g0010	AT1G01390-UDP-Glycosyltransferase superfamily protein
MA_22296g0010	
MA_23963g0010	AT5G57580-Calmodulin-binding protein
MA_323636g0010	AT1G52500-MUTM homolog-1
MA_4294210g0010	
MA_442802g0010	AT1G72890-Disease resistance protein (TIR-NBS class)
MA_450176g0010	
MA_452297g0010	AT5G03730-Protein kinase superfamily protein
MA_4541173g0010	
MA_460406g0010	
MA_500183g0010	AT2G18050-histone H1-3
MA_50165g0010	AT1G44790-ChaC-like family protein
MA_50214g0010	AT2G33620-AT hook motif DNA-binding family protein
MA_508161g0010	AT1G65730-YELLOW STRIPE like 7
MA_71046g0010	
MA_7447685g0010	
MA_747193g0010	AT4G36940-nicotinate phosphoribosyltransferase 1
MA_7584530g0010	
MA_7632643g0010	
MA_7657529g0010	AT5G05010-clathrin adaptor complexes medium subunit family protein
MA_766299g0010	AT4G02130-galacturonosyltransferase 6
MA_789108g0010	AT3G46490-2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
MA_799401g0010	AT1G01280-cytochrome P450, family 703, subfamily A, polypeptide 2
MA_8513206g0010	
MA_853890g0010	AT1G76280-Tetratricopeptide repeat (TPR)-like superfamily protein
MA_8595976g0010	
MA_882934g0010	AT3G01850-Aldolase-type TIM barrel family protein
MA_8833025g0010	AT5G18860-inosine-uridine preferring nucleoside hydrolase family protein
MA_88g0020	AT1G74930-Integrase-type DNA-binding superfamily protein
MA_9305610g0010	AT5G19485-transferases/nucleotidyltransferase
MA_935498g0010	AT1G03280-Transcription factor TFIIE, alpha subunit
MA_937735g0010	
MA_9528277g0010	
MA_955617g0010	
MA_9815325g0020	AT1G27170-transmembrane receptors / ATP binding protein
MA_9831213g0010	
MA_9868443g0010	
