ID	atg_description
MA_10063864g0010	
MA_10218870g0010	
MA_10262217g0010	
MA_10342g0010	AT5G26570-chloroplastidic  phosphoglucan, water dikinase (ATGWD3)
MA_10425859g0020	
MA_10425992g0020	AT2G30990-arginine N-methyltransferase, putative (DUF688)
MA_10426436g0020	AT1G56430-nicotianamine synthase 4
MA_10426470g0010	
MA_10426545g0010	
MA_10427283g0030	AT1G74950-TIFY domain/Divergent CCT motif family protein
MA_10427561g0010	AT1G15520-pleiotropic drug resistance 12
MA_10428036g0010	AT1G18700-DNAJ heat shock N-terminal domain-containing protein
MA_10428617g0010	
MA_10428812g0030	AT1G12470-zinc ion binding protein
MA_10429172g0010	AT1G12470-zinc ion binding protein
MA_10429528g0010	AT2G16370-thymidylate synthase 1
MA_10429603g0010	AT1G60780-Clathrin adaptor complexes medium subunit family protein
MA_10429684g0010	AT3G55760-hypothetical protein
MA_10429959g0010	
MA_10430344g0010	AT2G41530-S-formylglutathione hydrolase
MA_10430485g0010	
MA_10430772g0010	AT2G44350-Citrate synthase family protein
MA_10430846g0010	
MA_10430919g0010	AT3G07100-Sec23/Sec24 protein transport family protein
MA_10431596g0010	AT3G46060-RAB GTPase homolog 8A
MA_10432061g0010	AT3G15160-AP-5 complex subunit zeta-1
MA_10432652g0010	AT2G36850-glucan synthase-like 8
MA_10433213g0010	AT2G35610-xyloglucanase 113
MA_10433629g0010	AT5G45650-subtilase family protein
MA_10433895g0010	AT2G35610-xyloglucanase 113
MA_10434432g0010	AT3G63250-homocysteine methyltransferase 2
MA_10435338g0010	
MA_10435612g0010	AT5G15310-myb domain protein 16
MA_10435923g0010	AT5G16970-alkenal reductase
MA_10436210g0020	AT2G02480-AAA-type ATPase family protein
MA_10436275g0010	AT4G05190-kinesin 5
MA_10436382g0010	AT5G27970-ARM repeat superfamily protein
MA_10436426g0010	
MA_10436437g0010	
MA_10436695g0010	AT5G18410-transcription activator
MA_10436799g0020	
MA_10436942g0010	AT2G44350-Citrate synthase family protein
MA_10437128g0010	AT5G58230-Transducin/WD40 repeat-like superfamily protein
MA_109221g0020	AT1G11290-Pentatricopeptide repeat (PPR) superfamily protein
MA_113816g0010	AT5G21160-LA RNA-binding protein
MA_113838g0010	AT1G09200-Histone superfamily protein
MA_11461g0010	AT3G51300-RHO-related protein from plants 1
MA_118973g0010	
MA_127562g0010	AT3G03210-Pmr5/Cas1p GDSL/SGNH-like acyl-esterase family protein
MA_136671g0010	AT4G32850-nuclear poly(a) polymerase
MA_141666g0010	AT4G15880-Cysteine proteinases superfamily protein
MA_14356g0010	AT2G25310-ER membrane protein complex subunit-like protein (DUF2012)
MA_14986g0010	
MA_15491g0010	AT2G02480-AAA-type ATPase family protein
MA_15756g0010	
MA_15892g0020	
MA_168804g0010	AT2G26070-protein REVERSION-TO-ETHYLENE SENSITIVITY-like protein (DUF778)
MA_192976g0010	
MA_208203g0010	AT4G05190-kinesin 5
MA_2168g0030	AT1G10370-Glutathione S-transferase family protein
MA_22203g0020	AT5G54640-Histone superfamily protein
MA_297507g0010	
MA_338744g0010	
MA_348109g0010	AT2G41530-S-formylglutathione hydrolase
MA_4249g0010	
MA_46769g0010	AT2G37550-ARF-GAP domain 7
MA_47664g0010	AT1G08720-Protein kinase superfamily protein
MA_490761g0010	
MA_50111g0010	AT3G16060-ATP binding microtubule motor family protein
MA_54183g0010	
MA_6218g0010	AT1G77360-Tetratricopeptide repeat (TPR)-like superfamily protein
MA_67868g0010	AT1G11600-cytochrome P450, family 77, subfamily B, polypeptide 1
MA_785852g0010	
MA_79051g0010	AT3G19950-RING/U-box superfamily protein
MA_8167263g0010	AT5G64260-EXORDIUM like 2
MA_82191g0010	AT3G46040-ribosomal protein S15A D
MA_8374078g0010	AT3G07160-glucan synthase-like 10
MA_8409133g0010	AT1G18700-DNAJ heat shock N-terminal domain-containing protein
MA_8963386g0010	AT1G27170-transmembrane receptors / ATP binding protein
MA_900787g0010	
MA_9035900g0010	
MA_904294g0010	AT1G72310-RING/U-box superfamily protein
MA_9132531g0010	AT3G51520-diacylglycerol acyltransferase family
MA_9257454g0010	AT5G48740-Leucine-rich repeat protein kinase family protein
MA_92715g0010	AT5G28050-Cytidine/deoxycytidylate deaminase family protein
MA_935047g0010	AT4G01810-Sec23/Sec24 protein transport family protein
MA_9435232g0010	AT1G34130-staurosporin and temperature sensitive 3-like b
MA_9486006g0010	AT5G10580-plant/protein (Protein of unknown function, DUF599)
MA_95364g0010	AT3G43120-SAUR-like auxin-responsive protein family
