ID	atg_description
MA_100548g0010	
MA_10151561g0010	
MA_10203128g0010	
MA_102175g0010	AT1G67080-abscisic acid (aba)-deficient 4
MA_10292331g0010	AT1G18250-Pathogenesis-related thaumatin superfamily protein
MA_10341128g0010	
MA_10373780g0020	AT5G42080-dynamin-like protein
MA_10381766g0010	AT1G29040-50S ribosomal protein L34
MA_10428505g0010	AT3G14440-nine-cis-epoxycarotenoid dioxygenase 3
MA_10428573g0010	
MA_10428694g0010	AT1G36370-serine hydroxymethyltransferase 7
MA_10428924g0010	AT5G01720-RNI-like superfamily protein
MA_10429555g0010	
MA_10430467g0010	AT3G19300-Protein kinase superfamily protein
MA_10430493g0010	AT1G27170-transmembrane receptors / ATP binding protein
MA_10431154g0010	AT1G66150-transmembrane kinase 1
MA_10431154g0020	AT1G66150-transmembrane kinase 1
MA_10431429g0010	AT5G06970-plant/protein (DUF810)
MA_10432075g0010	AT4G21190-Pentatricopeptide repeat (PPR) superfamily protein
MA_10432691g0010	AT2G48060-piezo-type mechanosensitive ion channel component
MA_10433602g0010	AT1G01390-UDP-Glycosyltransferase superfamily protein
MA_10433920g0010	
MA_10433952g0010	AT1G04950-TATA BOX ASSOCIATED FACTOR II 59
MA_10434515g0010	
MA_10435358g0010	AT1G05060-coiled-coil protein
MA_10436203g0010	
MA_10437036g0010	AT2G39170-MEF2BNB-like protein
MA_10437221g0010	AT1G66150-transmembrane kinase 1
MA_104614g0010	AT5G12030-heat shock protein 17.6A
MA_116457g0010	AT1G80940-Snf1 kinase interactor-like protein
MA_13389g0010	
MA_139843g0010	AT4G28050-tetraspanin7
MA_141866g0010	AT3G21510-histidine-containing phosphotransmitter 1
MA_1542g0010	AT3G42860-zinc knuckle (CCHC-type) family protein
MA_155287g0010	AT5G62740-SPFH/Band 7/PHB domain-containing membrane-associated protein family
MA_160159g0010	AT5G36930-Disease resistance protein (TIR-NBS-LRR class) family
MA_18900g0010	AT1G64080-membrane-associated kinase regulator
MA_202816g0010	AT1G08650-phosphoenolpyruvate carboxylase kinase 1
MA_206815g0010	AT2G29690-anthranilate synthase 2
MA_22397g0010	
MA_22426g0010	AT2G01820-Leucine-rich repeat protein kinase family protein
MA_236064g0010	AT1G50510-indigoidine synthase A family protein
MA_245615g0010	AT1G78700-BES1/BZR1 homolog 4
MA_258650g0010	AT4G21660-proline-rich spliceosome-associated (PSP) family protein
MA_2905927g0010	
MA_3099g0010	AT1G64080-membrane-associated kinase regulator
MA_3127604g0010	
MA_3329476g0010	
MA_361914g0010	AT1G31770-ATP-binding cassette 14
MA_38025g0010	
MA_41199g0010	AT3G12210-DNA binding protein
MA_42181g0010	AT1G63970-isoprenoid F
MA_442802g0010	AT1G72890-Disease resistance protein (TIR-NBS class)
MA_450176g0010	
MA_452577g0010	AT4G02750-Tetratricopeptide repeat (TPR)-like superfamily protein
MA_462034g0010	AT1G79380-Ca(2)-dependent phospholipid-binding protein (Copine) family
MA_475294g0010	
MA_491986g0010	AT1G62310-transcription factor jumonji (jmjC) domain-containing protein
MA_499991g0010	
MA_500183g0010	AT2G18050-histone H1-3
MA_5617441g0010	
MA_6412g0010	AT1G12880-nudix hydrolase homolog 12
MA_7021431g0010	AT2G20840-Secretory carrier membrane protein (SCAMP) family protein
MA_7156237g0010	AT2G18100-transmembrane/coiled-coil protein (DUF726)
MA_7632643g0010	
MA_7848017g0010	
MA_789108g0010	AT3G46490-2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
MA_8016537g0010	AT3G46500-2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
MA_8065g0010	AT2G28720-Histone superfamily protein
MA_80942g0020	
MA_8144413g0010	AT5G09995-transmembrane protein
MA_85817g0010	AT1G07900-LOB domain-containing protein 1
MA_8595976g0010	
MA_86938g0010	AT5G15720-GDSL-motif lipase 7
MA_8822292g0010	
MA_910689g0010	AT4G36210-transmembrane/coiled-coil protein (DUF726)
MA_9154853g0010	
MA_918888g0010	
MA_93883g0010	AT3G13040-myb-like HTH transcriptional regulator family protein
MA_9831213g0010	
