ID	atg_description
MA_10137384g0010	AT1G27170-transmembrane receptors / ATP binding protein
MA_10153396g0010	
MA_10171923g0010	
MA_10212474g0010	
MA_10236470g0010	
MA_10236907g0010	AT5G36930-Disease resistance protein (TIR-NBS-LRR class) family
MA_10300g0030	AT1G50260-N-terminal-transmembrane-C2 domain type 5.1
MA_10426218g0010	AT3G02040-senescence-related gene 3
MA_10426686g0010	AT4G36940-nicotinate phosphoribosyltransferase 1
MA_10427561g0020	AT1G15520-pleiotropic drug resistance 12
MA_10427792g0010	
MA_10427886g0020	
MA_10429333g0010	AT2G30020-Protein phosphatase 2C family protein
MA_10430133g0010	AT1G06800-alpha/beta-Hydrolases superfamily protein
MA_10430252g0010	AT3G16170-AMP-dependent synthetase and ligase family protein
MA_10430611g0010	AT5G03650-starch branching enzyme 2.2
MA_10430768g0010	AT1G03780-targeting protein for XKLP2
MA_10430919g0010	AT3G07100-Sec23/Sec24 protein transport family protein
MA_10431401g0010	
MA_10432837g0010	AT5G49760-Leucine-rich repeat protein kinase family protein
MA_10432984g0010	AT4G10920-transcriptional coactivator p15 (PC4) family protein (KELP)
MA_10433767g0010	AT3G01460-methyl-CPG-binding domain 9
MA_10434125g0010	AT3G07130-purple acid phosphatase 15
MA_10434355g0010	AT5G07120-sorting nexin 2B
MA_10434357g0020	AT1G09155-phloem protein 2-B15
MA_10435092g0020	AT2G15970-cold regulated 413 plasma membrane 1
MA_10436028g0010	AT1G76410-RING/U-box superfamily protein
MA_10436516g0010	AT3G45980-Histone superfamily protein
MA_10436594g0010	AT4G08950-Phosphate-responsive 1 family protein
MA_10436694g0010	AT1G14460-AAA-type ATPase family protein
MA_10436776g0030	
MA_10436799g0020	
MA_10437151g0010	AT1G45545-WEAK CHLOROPLAST MOVEMENT UNDER BLUE LIGHT-like protein (DUF827)
MA_107580g0020	AT3G19240-Vacuolar import/degradation, Vid27-related protein
MA_108992g0010	AT1G74930-Integrase-type DNA-binding superfamily protein
MA_113702g0010	AT3G12480-nuclear factor Y, subunit C11
MA_118973g0010	
MA_119005g0010	AT1G26560-beta glucosidase 40
MA_120504g0010	AT4G19450-Major facilitator superfamily protein
MA_122198g0010	AT2G46090-Diacylglycerol kinase family protein
MA_124616g0010	AT1G76110-HMG (high mobility group) box protein with ARID/BRIGHT DNA-binding domain-containing protein
MA_125167g0010	AT2G39510-nodulin MtN21 /EamA-like transporter family protein
MA_1274g0010	AT1G07160-Protein phosphatase 2C family protein
MA_174378g0010	
MA_17927g0010	
MA_18041g0010	AT5G42400-SET domain protein 25
MA_187114g0010	
MA_189802g0010	
MA_20585g0010	AT1G12860-basic helix-loop-helix (bHLH) DNA-binding superfamily protein
MA_210823g0010	AT3G49170-Tetratricopeptide repeat (TPR)-like superfamily protein
MA_2226g0020	
MA_2332g0020	AT3G62900-CW-type Zinc Finger
MA_238448g0010	AT1G64160-Disease resistance-responsive (dirigent-like protein) family protein
MA_26597g0010	AT1G19330-histone deacetylase complex subunit
MA_273488g0010	
MA_27973g0010	AT2G41660-MIZU-KUSSEI-like protein (Protein of unknown function, DUF617)
MA_36042g0010	AT3G51680-NAD(P)-binding Rossmann-fold superfamily protein
MA_36579g0010	
MA_405307g0010	
MA_40826g0010	AT1G01380-Homeodomain-like superfamily protein
MA_4249g0010	
MA_425144g0010	AT2G46760-D-arabinono-1,4-lactone oxidase family protein
MA_4294210g0010	
MA_434510g0010	AT2G34720-nuclear factor Y, subunit A4
MA_45410g0010	AT1G19330-histone deacetylase complex subunit
MA_460406g0010	
MA_494946g0010	
MA_57173g0020	AT3G13380-BRI1-like 3
MA_57173g0030	AT3G13380-BRI1-like 3
MA_57501g0010	AT1G80730-zinc-finger protein 1
MA_5937864g0010	AT2G32070-Polynucleotidyl transferase, ribonuclease H-like superfamily protein
MA_60139g0010	AT1G30500-nuclear factor Y, subunit A7
MA_618219g0010	AT3G07130-purple acid phosphatase 15
MA_6306g0010	AT4G10170-SNARE-like superfamily protein
MA_63465g0020	AT1G09812-multidrug resistance protein
MA_64700g0010	AT1G08700-Presenilin-1
MA_74539g0010	
MA_76618g0010	AT5G45340-cytochrome P450, family 707, subfamily A, polypeptide 3
MA_7823219g0010	AT2G39570-ACT domain-containing protein
MA_79374g0010	
MA_799401g0010	AT1G01280-cytochrome P450, family 703, subfamily A, polypeptide 2
MA_81029g0010	AT3G15210-ethylene responsive element binding factor 4
MA_8167263g0010	AT5G64260-EXORDIUM like 2
MA_83406g0010	AT3G17070-Peroxidase family protein
MA_84119g0010	AT5G67520-adenosine-5'-phosphosulfate (APS) kinase 4
MA_8664817g0010	AT1G33030-O-methyltransferase family protein
MA_904294g0010	AT1G72310-RING/U-box superfamily protein
MA_9142043g0010	
MA_91773g0010	AT4G28980-CDK-activating kinase 1AT
MA_9349g0010	AT3G57400-transmembrane protein
MA_954050g0010	AT5G48820-inhibitor/interactor with cyclin-dependent kinase
MA_9756g0020	AT2G28720-Histone superfamily protein
