ID	atg_description
MA_10166253g0010	AT3G53930-Protein kinase superfamily protein
MA_10223525g0010	AT5G61530-small G protein family protein / RhoGAP family protein
MA_103912g0010	AT1G08230-Transmembrane amino acid transporter family protein
MA_10425833g0010	
MA_10427326g0010	AT4G17170-RAB GTPase homolog B1C
MA_10427685g0010	AT1G56560-Plant neutral invertase family protein
MA_10428317g0010	AT4G34050-S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
MA_10429630g0030	AT5G14970-seed maturation-like protein
MA_10430064g0020	AT5G36930-Disease resistance protein (TIR-NBS-LRR class) family
MA_10432419g0010	AT3G45850-P-loop containing nucleoside triphosphate hydrolases superfamily protein
MA_10432496g0010	AT3G11660-NDR1/HIN1-like 1
MA_10434669g0010	AT1G29800-RING/FYVE/PHD-type zinc finger family protein
MA_10434764g0010	AT3G14172-GPI-anchored adhesin-like protein
MA_10435248g0010	
MA_1125923g0010	AT2G29420-glutathione S-transferase tau 7
MA_116686g0010	
MA_127251g0010	
MA_158233g0010	AT3G58490-Phosphatidic acid phosphatase (PAP2) family protein
MA_177791g0010	AT3G48195-Phox (PX) domain-containing protein
MA_180530g0010	AT2G22500-uncoupling protein 5
MA_19639g0020	
MA_206599g0010	AT2G21530-SMAD/FHA domain-containing protein
MA_21789g0010	AT5G18670-beta-amylase 3
MA_23219g0010	AT2G37110-PLAC8 family protein
MA_25325g0010	AT3G01500-carbonic anhydrase 1
MA_261860g0010	
MA_2650592g0010	
MA_365544g0010	AT5G44250-peptidase, S9A/B/C family, catalytic domain protein (Protein of unknown function DUF829, transmembrane 53)
MA_4674g0010	AT4G34050-S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
MA_493817g0010	
MA_49950g0010	AT1G13950-eukaryotic elongation factor 5A-1
MA_65498g0010	AT3G51990-Protein kinase superfamily protein
MA_71981g0010	AT2G22570-nicotinamidase 1
MA_728885g0010	
MA_879477g0010	AT1G19540-NmrA-like negative transcriptional regulator family protein
MA_8895597g0010	AT1G55230-proteinase inhibitor I4, serpin (DUF716)
MA_93025g0010	AT3G59510-Leucine-rich repeat (LRR) family protein
MA_9478104g0010	AT2G35830-ureidoglycolate hydrolase
MA_9851g0010	AT2G33990-IQ-domain 9
