Sequence Name;Sequence Description;Annotation GO ID;Annotation GO Term;Annotation GO Category;InterPro Accession;InterPro Name
MA_10137384g0010;TMV resistance N-like;GO:0005515|GO:0007165|GO:0043531;protein binding|signal transduction|ADP binding;Molecular Function|Biological Process|Molecular Function;noIPR|IPR003593|IPR000157|noIPR|IPR036388|IPR002182|IPR035897|noIPR|IPR000157|noIPR|noIPR|IPR000157|noIPR|IPR036390|IPR035897|IPR027417;null|AAA+ ATPase domain|Toll/interleukin-1 receptor homology (TIR) domain|Toll/interleukin-1 receptor homology (TIR) domain|Winged helix-like DNA-binding domain superfamily|NB-ARC|Toll/interleukin-1 receptor homology (TIR) domain superfamily|Toll/interleukin-1 receptor homology (TIR) domain superfamily|Toll/interleukin-1 receptor homology (TIR) domain|Toll/interleukin-1 receptor homology (TIR) domain|Toll/interleukin-1 receptor homology (TIR) domain|Toll/interleukin-1 receptor homology (TIR) domain|Toll/interleukin-1 receptor homology (TIR) domain|Winged helix DNA-binding domain superfamily|Toll/interleukin-1 receptor homology (TIR) domain superfamily|P-loop containing nucleoside triphosphate hydrolase
MA_10153396g0010;eukaryotic translation initiation factor 4G-like;GO:0005488;binding;Molecular Function;IPR003891|IPR003891|noIPR|noIPR|noIPR|noIPR|noIPR|IPR003891|IPR016024;Initiation factor eIF-4 gamma, MA3|Initiation factor eIF-4 gamma, MA3|Initiation factor eIF-4 gamma, MA3|Initiation factor eIF-4 gamma, MA3|Initiation factor eIF-4 gamma, MA3|Initiation factor eIF-4 gamma, MA3|Initiation factor eIF-4 gamma, MA3|Initiation factor eIF-4 gamma, MA3|Armadillo-type fold
MA_10171923g0010;unknown;NA;NA;NA;noIPR|noIPR|noIPR|noIPR|noIPR;null|null|null|null|null
MA_10212474g0010;---NA---;NA;NA;NA;noIPR;null
MA_10236470g0010;unknown;NA;NA;NA;IPR008480|noIPR|noIPR;Protein of unknown function DUF761, plant|Protein of unknown function DUF761, plant|Protein of unknown function DUF761, plant
MA_10236907g0010;TIR NBS LRR disease resistance;GO:0005515|GO:0007165|GO:0043531;protein binding|signal transduction|ADP binding;Molecular Function|Biological Process|Molecular Function;noIPR|IPR000157|IPR002182|IPR000157|IPR035897|noIPR|noIPR|noIPR|noIPR|IPR000157|IPR027417|IPR035897;null|Toll/interleukin-1 receptor homology (TIR) domain|NB-ARC|Toll/interleukin-1 receptor homology (TIR) domain|Toll/interleukin-1 receptor homology (TIR) domain superfamily|Toll/interleukin-1 receptor homology (TIR) domain superfamily|Toll/interleukin-1 receptor homology (TIR) domain superfamily|Toll/interleukin-1 receptor homology (TIR) domain superfamily|Toll/interleukin-1 receptor homology (TIR) domain superfamily|Toll/interleukin-1 receptor homology (TIR) domain|P-loop containing nucleoside triphosphate hydrolase|Toll/interleukin-1 receptor homology (TIR) domain superfamily
MA_10300g0030;tricalbin-3;NA;NA;NA;noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR;null|null|null|null|null|null|null|null|null|null
MA_10426218g0010;glycerophosphodiester phosphodiesterase chloroplastic-like;GO:0006629|GO:0008081;lipid metabolic process|phosphoric diester hydrolase activity;Biological Process|Molecular Function;IPR017946|IPR030395|noIPR|noIPR|IPR030395|IPR017946;PLC-like phosphodiesterase, TIM beta/alpha-barrel domain superfamily|Glycerophosphodiester phosphodiesterase domain|Glycerophosphodiester phosphodiesterase domain|Glycerophosphodiester phosphodiesterase domain|Glycerophosphodiester phosphodiesterase domain|PLC-like phosphodiesterase, TIM beta/alpha-barrel domain superfamily
MA_10426686g0010;nicotinate phosphoribosyltransferase 2-like;GO:0004514|GO:0009435|GO:0046497;nicotinate-nucleotide diphosphorylase (carboxylating) activity|NAD biosynthetic process|nicotinate nucleotide metabolic process;Molecular Function|Biological Process|Biological Process;noIPR|noIPR|IPR007229|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|IPR036068|noIPR;null|null|Nicotinate phosphoribosyltransferase family|Nicotinate phosphoribosyltransferase family|Nicotinate phosphoribosyltransferase family|Nicotinate phosphoribosyltransferase family|Nicotinate phosphoribosyltransferase family|Nicotinate phosphoribosyltransferase family|Nicotinate phosphoribosyltransferase family|Nicotinate phosphoribosyltransferase family|Nicotinate phosphoribosyltransferase-like, C-terminal|Nicotinate phosphoribosyltransferase-like, C-terminal
MA_10427561g0020;AB31G_ORYSJ ame: Full=ABC transporter G family member 31 Short= 31 ame: Full=Pleiotropic drug resistance 6 Short= 6;GO:0016020;membrane;Cellular Component;IPR013525|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR;ABC-2 type transporter|ABC-2 type transporter|ABC-2 type transporter|ABC-2 type transporter|ABC-2 type transporter|ABC-2 type transporter|ABC-2 type transporter|ABC-2 type transporter|ABC-2 type transporter|ABC-2 type transporter|ABC-2 type transporter|ABC-2 type transporter|ABC-2 type transporter
MA_10427792g0010;disease resistance At4g27190-like;GO:0000166;nucleotide binding;Molecular Function;IPR032675|noIPR|IPR032675;Leucine-rich repeat domain superfamily|Leucine-rich repeat domain superfamily|Leucine-rich repeat domain superfamily
MA_10427886g0020;unknown;NA;NA;NA;NA;NA
MA_10429333g0010;probable phosphatase 2C 25;GO:0004722|GO:0006470|GO:0008287;protein serine/threonine phosphatase activity|protein dephosphorylation|protein serine/threonine phosphatase complex;Molecular Function|Biological Process|Cellular Component;IPR001932|IPR001932|IPR036457|IPR001932|IPR015655|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|IPR001932|IPR001932|IPR036457;PPM-type phosphatase domain|PPM-type phosphatase domain|PPM-type phosphatase domain superfamily|PPM-type phosphatase domain|Protein phosphatase 2C family|Protein phosphatase 2C family|Protein phosphatase 2C family|Protein phosphatase 2C family|Protein phosphatase 2C family|Protein phosphatase 2C family|Protein phosphatase 2C family|PPM-type phosphatase domain|PPM-type phosphatase domain|PPM-type phosphatase domain superfamily
MA_10430133g0010;phospholipase A1- chloroplastic-like;GO:0006629;lipid metabolic process;Biological Process;IPR029058|IPR002921|IPR029058|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|IPR029058;Alpha/Beta hydrolase fold|Fungal lipase-like domain|Alpha/Beta hydrolase fold|Alpha/Beta hydrolase fold|Alpha/Beta hydrolase fold|Alpha/Beta hydrolase fold|Alpha/Beta hydrolase fold|Alpha/Beta hydrolase fold|Alpha/Beta hydrolase fold|Alpha/Beta hydrolase fold
MA_10430252g0010;malonate-- ligase;GO:0003824|GO:0008152;catalytic activity|metabolic process;Molecular Function|Biological Process;noIPR|noIPR|IPR025110|IPR000873|noIPR|noIPR|noIPR|noIPR;null|null|AMP-binding enzyme, C-terminal domain|AMP-dependent synthetase/ligase|AMP-dependent synthetase/ligase|AMP-dependent synthetase/ligase|AMP-dependent synthetase/ligase|AMP-dependent synthetase/ligase
MA_10430611g0010;1,4-alpha-glucan-branching chloroplastic amyloplastic-like;GO:0003844|GO:0004553|GO:0005978|GO:0005982|GO:0005985;1,4-alpha-glucan branching enzyme activity|hydrolase activity, hydrolyzing O-glycosyl compounds|glycogen biosynthetic process|starch metabolic process|sucrose metabolic process;Molecular Function|Molecular Function|Biological Process|Biological Process|Biological Process;IPR006047|IPR006047|IPR006407|IPR004193|IPR013783|noIPR|noIPR|noIPR|noIPR|noIPR|IPR014756|IPR017853;Glycosyl hydrolase, family 13, catalytic domain|Glycosyl hydrolase, family 13, catalytic domain|1,4-alpha-glucan-branching enzyme, GlgB|Glycoside hydrolase, family 13, N-terminal|Immunoglobulin-like fold|Immunoglobulin-like fold|Immunoglobulin-like fold|Immunoglobulin-like fold|Immunoglobulin-like fold|Immunoglobulin-like fold|Immunoglobulin E-set|Glycoside hydrolase superfamily
MA_10430768g0010;TPX2-like isoform X2;GO:0005819|GO:0005874|GO:0032147|GO:0060236;spindle|microtubule|activation of protein kinase activity|regulation of mitotic spindle organization;Cellular Component|Cellular Component|Biological Process|Biological Process;IPR027330|noIPR|noIPR|noIPR|IPR009675;TPX2 central domain|TPX2 central domain|TPX2 central domain|TPX2 central domain|TPX2
MA_10430919g0010;transport Sec24-like At3g07100;GO:0006886|GO:0006888|GO:0030127;intracellular protein transport|ER to Golgi vesicle-mediated transport|COPII vesicle coat;Biological Process|Biological Process|Cellular Component;IPR029006|IPR006896|IPR036465|IPR006900|IPR012990|noIPR|noIPR|IPR036465|IPR036175|IPR036180|noIPR;ADF-H/Gelsolin-like domain superfamily|Sec23/Sec24, trunk domain|von Willebrand factor A-like domain superfamily|Sec23/Sec24, helical domain|Sec23/Sec24 beta-sandwich|Sec23/Sec24 beta-sandwich|Sec23/Sec24 beta-sandwich|von Willebrand factor A-like domain superfamily|Sec23/Sec24 helical domain superfamily|Gelsolin-like domain superfamily|Gelsolin-like domain superfamily
MA_10431401g0010;---NA---;NA;NA;NA;noIPR|noIPR;null|null
MA_10432837g0010;probable leucine-rich repeat receptor kinase At5g49770;GO:0004672|GO:0005524|GO:0006468;protein kinase activity|ATP binding|protein phosphorylation;Molecular Function|Molecular Function|Biological Process;noIPR|noIPR|noIPR|IPR000719|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|IPR000719|IPR011009|IPR011009;null|null|null|Protein kinase domain|Protein kinase domain|Protein kinase domain|Protein kinase domain|Protein kinase domain|Protein kinase domain|Protein kinase domain|Protein kinase domain|Protein kinase-like domain superfamily|Protein kinase-like domain superfamily
MA_10432984g0010;RNA polymerase II transcriptional coactivator KELP;GO:0003677|GO:0003713|GO:0005667|GO:0045941;DNA binding|transcription coactivator activity|transcription factor complex|positive regulation of transcription, DNA-templated;Molecular Function|Molecular Function|Cellular Component|Biological Process;IPR003173|IPR009044|IPR009044;Transcriptional coactivator p15 (PC4)|ssDNA-binding transcriptional regulator|ssDNA-binding transcriptional regulator
MA_10433767g0010;RING FYVE PHD zinc finger superfamily isoform;GO:0008270;zinc ion binding;Molecular Function;noIPR|IPR001965|IPR013083|IPR013083|IPR019787|noIPR|noIPR|IPR019786|IPR019787|IPR011011;null|Zinc finger, PHD-type|Zinc finger, RING/FYVE/PHD-type|Zinc finger, RING/FYVE/PHD-type|Zinc finger, PHD-finger|Zinc finger, PHD-finger|Zinc finger, PHD-finger|Zinc finger, PHD-type, conserved site|Zinc finger, PHD-finger|Zinc finger, FYVE/PHD-type
MA_10434125g0010;purple acid phosphatase 23 isoform X1;GO:0003993|GO:0006771|GO:0019497|GO:0046872;acid phosphatase activity|riboflavin metabolic process|hexachlorocyclohexane metabolic process|metal ion binding;Molecular Function|Biological Process|Biological Process|Molecular Function;IPR015914|IPR008963|IPR004843|IPR025733|IPR029052|noIPR|noIPR|noIPR|noIPR|IPR008963|IPR029052|IPR029052;Purple acid phosphatase, N-terminal|Purple acid phosphatase-like, N-terminal|Calcineurin-like phosphoesterase domain, ApaH type|Iron/zinc purple acid phosphatase-like C-terminal domain|Metallo-dependent phosphatase-like|Metallo-dependent phosphatase-like|Metallo-dependent phosphatase-like|Metallo-dependent phosphatase-like|Metallo-dependent phosphatase-like|Purple acid phosphatase-like, N-terminal|Metallo-dependent phosphatase-like|Metallo-dependent phosphatase-like
MA_10434355g0010;sorting nexin 2A;GO:0035091;phosphatidylinositol binding;Molecular Function;noIPR|noIPR|IPR001683|IPR036871|IPR001683|IPR015404|IPR027267|noIPR|noIPR|noIPR|IPR001683|noIPR|noIPR|IPR036871|IPR027267;null|null|Phox homologous domain|PX domain superfamily|Phox homologous domain|Sorting nexin Vps5-like, C-terminal|AH/BAR domain superfamily|AH/BAR domain superfamily|AH/BAR domain superfamily|AH/BAR domain superfamily|Phox homologous domain|Phox homologous domain|Phox homologous domain|PX domain superfamily|AH/BAR domain superfamily
MA_10434357g0020;F-box PP2-B15-like;GO:0005515;protein binding;Molecular Function;IPR001810|IPR025886|noIPR|IPR001810|noIPR|IPR001810|IPR036047;F-box domain|Phloem protein 2-like|Phloem protein 2-like|F-box domain|F-box domain|F-box domain|F-box-like domain superfamily
MA_10435092g0020;cold-regulated 413 plasma membrane 1-like;GO:0016021;integral component of membrane;Cellular Component;IPR008892|IPR008892|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR;Cold-regulated 413 protein|Cold-regulated 413 protein|Cold-regulated 413 protein|Cold-regulated 413 protein|Cold-regulated 413 protein|Cold-regulated 413 protein|Cold-regulated 413 protein|Cold-regulated 413 protein|Cold-regulated 413 protein|Cold-regulated 413 protein
MA_10436028g0010;RING-H2 finger ATL74-like;GO:0008270;zinc ion binding;Molecular Function;IPR001841|IPR013083|IPR001841|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|IPR001841|noIPR|noIPR|noIPR;Zinc finger, RING-type|Zinc finger, RING/FYVE/PHD-type|Zinc finger, RING-type|Zinc finger, RING-type|Zinc finger, RING-type|Zinc finger, RING-type|Zinc finger, RING-type|Zinc finger, RING-type|Zinc finger, RING-type|Zinc finger, RING-type|Zinc finger, RING-type|Zinc finger, RING-type|Zinc finger, RING-type
MA_10436516g0010;histone H2B;GO:0000786|GO:0003677|GO:0046982;nucleosome|DNA binding|protein heterodimerization activity;Cellular Component|Molecular Function|Molecular Function;IPR000558|IPR000558|IPR007125|noIPR|noIPR|noIPR|IPR000558|IPR009072;Histone H2B|Histone H2B|Histone H2A/H2B/H3|Histone H2A/H2B/H3|Histone H2A/H2B/H3|Histone H2A/H2B/H3|Histone H2B|Histone-fold
MA_10436594g0010;EXORDIUM-like 2;NA;NA;NA;IPR006766|noIPR|noIPR|IPR006766|IPR006766|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR;Protein EXORDIUM-like|Protein EXORDIUM-like|Protein EXORDIUM-like|Protein EXORDIUM-like|Protein EXORDIUM-like|Protein EXORDIUM-like|Protein EXORDIUM-like|Protein EXORDIUM-like|Protein EXORDIUM-like|Protein EXORDIUM-like|Protein EXORDIUM-like|Protein EXORDIUM-like|Protein EXORDIUM-like|Protein EXORDIUM-like
MA_10436694g0010;STICHEL-like 2;NA;NA;NA;noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR;null|null|null|null|null|null|null|null|null|null|null|null|null|null
MA_10436776g0030;unknown;NA;NA;NA;NA;NA
MA_10436799g0020;unknown;GO:0003677|GO:0006355;DNA binding|regulation of transcription, DNA-templated;Molecular Function|Biological Process;noIPR|noIPR|noIPR|noIPR;null|null|null|null
MA_10437151g0010;WEAK CHLOROPLAST MOVEMENT UNDER BLUE LIGHT 1;NA;NA;NA;noIPR|noIPR|noIPR|noIPR|noIPR|IPR008545|noIPR|noIPR;null|null|null|null|null|WEB family|WEB family|WEB family
MA_107580g0020;vacuolar import Vid27-related;GO:0005515;protein binding;Molecular Function;IPR013863|IPR011042|IPR015943|noIPR|noIPR|noIPR|noIPR|noIPR|IPR036322;Vacuolar import/degradation, Vid27-related|Six-bladed beta-propeller, TolB-like|WD40/YVTN repeat-like-containing domain superfamily|WD40/YVTN repeat-like-containing domain superfamily|WD40/YVTN repeat-like-containing domain superfamily|WD40/YVTN repeat-like-containing domain superfamily|WD40/YVTN repeat-like-containing domain superfamily|WD40/YVTN repeat-like-containing domain superfamily|WD40-repeat-containing domain superfamily
MA_108992g0010;ethylene-responsive transcription factor ERF017-like;GO:0003677|GO:0003700|GO:0005667|GO:0006355|GO:0045449;DNA binding|transcription factor activity, sequence-specific DNA binding|transcription factor complex|regulation of transcription, DNA-templated|regulation of transcription, DNA-templated;Molecular Function|Molecular Function|Cellular Component|Biological Process|Biological Process;IPR001471|IPR001471|IPR017392|IPR036955|IPR001471|noIPR|noIPR|IPR001471|IPR001471|IPR016177;AP2/ERF domain|AP2/ERF domain|AP2/ERF transcription factor ERF/PTI6|AP2/ERF domain superfamily|AP2/ERF domain|AP2/ERF domain|AP2/ERF domain|AP2/ERF domain|AP2/ERF domain|DNA-binding domain superfamily
MA_113702g0010;dr1-associated corepressor-like isoform X2;GO:0046982;protein heterodimerization activity;Molecular Function;noIPR|IPR003958|noIPR|noIPR|noIPR|IPR009072;null|Transcription factor CBF/NF-Y/archaeal histone domain|Transcription factor CBF/NF-Y/archaeal histone domain|Transcription factor CBF/NF-Y/archaeal histone domain|Transcription factor CBF/NF-Y/archaeal histone domain|Histone-fold
MA_118973g0010;unknown;NA;NA;NA;noIPR;null
MA_119005g0010;glycoside hydrolase family 1;GO:0004553|GO:0005975;hydrolase activity, hydrolyzing O-glycosyl compounds|carbohydrate metabolic process;Molecular Function|Biological Process;IPR001360|noIPR|IPR001360|IPR001360|noIPR|IPR018120|IPR033132|IPR017853;Glycoside hydrolase family 1|Glycoside hydrolase family 1|Glycoside hydrolase family 1|Glycoside hydrolase family 1|Glycoside hydrolase family 1|Glycoside hydrolase family 1, active site|Glycosyl hydrolases family 1, N-terminal conserved site|Glycoside hydrolase superfamily
MA_120504g0010;NUCLEAR FUSION DEFECTIVE 4-like;NA;NA;NA;IPR010658|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|IPR036259|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR;Nodulin-like|Nodulin-like|Nodulin-like|Nodulin-like|Nodulin-like|Nodulin-like|Nodulin-like|Nodulin-like|Nodulin-like|Nodulin-like|Nodulin-like|Nodulin-like|Nodulin-like|Nodulin-like|Nodulin-like|Nodulin-like|Nodulin-like|Nodulin-like|Nodulin-like|Nodulin-like|Nodulin-like|Nodulin-like|Nodulin-like|Nodulin-like|Nodulin-like|Nodulin-like|Nodulin-like|Nodulin-like|Nodulin-like|Nodulin-like|Nodulin-like|MFS transporter superfamily|MFS transporter superfamily|MFS transporter superfamily|MFS transporter superfamily|MFS transporter superfamily|MFS transporter superfamily|MFS transporter superfamily|MFS transporter superfamily|MFS transporter superfamily|MFS transporter superfamily|MFS transporter superfamily|MFS transporter superfamily|MFS transporter superfamily|MFS transporter superfamily
MA_122198g0010;sphingoid long-chain bases kinase mitochondrial-like;GO:0004143|GO:0005739|GO:0006671|GO:0007205|GO:0009395|GO:0009409|GO:0017050|GO:0046486;diacylglycerol kinase activity|mitochondrion|phytosphingosine metabolic process|protein kinase C-activating G-protein coupled receptor signaling pathway|phospholipid catabolic process|response to cold|D-erythro-sphingosine kinase activity|glycerolipid metabolic process;Molecular Function|Cellular Component|Biological Process|Biological Process|Biological Process|Biological Process|Molecular Function|Biological Process;NA;NA
MA_124616g0010;high mobility group B 15-like;GO:0003677;DNA binding;Molecular Function;IPR001606|noIPR|IPR036431|IPR001606|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|IPR001606|IPR036431|IPR036910;ARID DNA-binding domain|ARID DNA-binding domain|ARID DNA-binding domain superfamily|ARID DNA-binding domain|ARID DNA-binding domain|ARID DNA-binding domain|ARID DNA-binding domain|ARID DNA-binding domain|ARID DNA-binding domain|ARID DNA-binding domain|ARID DNA-binding domain|ARID DNA-binding domain|ARID DNA-binding domain superfamily|High mobility group box domain superfamily
MA_125167g0010;WAT1-related At2g37460-like;GO:0016021|GO:0022857;integral component of membrane|transmembrane transporter activity;Cellular Component|Molecular Function;IPR000620|IPR030184|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR;EamA domain|WAT1-related protein|WAT1-related protein|WAT1-related protein|WAT1-related protein|WAT1-related protein|WAT1-related protein|WAT1-related protein|WAT1-related protein|WAT1-related protein|WAT1-related protein|WAT1-related protein|WAT1-related protein|WAT1-related protein|WAT1-related protein|WAT1-related protein|WAT1-related protein|WAT1-related protein|WAT1-related protein|WAT1-related protein|WAT1-related protein|WAT1-related protein|WAT1-related protein|WAT1-related protein|WAT1-related protein|WAT1-related protein|WAT1-related protein|WAT1-related protein|WAT1-related protein|WAT1-related protein|WAT1-related protein|WAT1-related protein|WAT1-related protein
